rating,name,area,cuisine_type,price,cuisine_region,address
"                    -
                ",Ayam Woku ,"Beachwalk, Kuta",Quick Bites,"                        Rp100.000 
                                    
        ",  Manado," Beachwalk, Lantai 3, Eat & Eat, Jl. Pantai Kuta, Kuta, Bali"
"                    -
                ",Puri Wirata ,Amed,Casual Dining,"                        Rp180.000 
                                    
        ","  Bali, Eropa"," Jl. Raya Amed, Amed, Bali"
"                    -
                ",Warung Mamarita ,Sanur,Quick Bites,"                        Rp150.000 
                                    
        ","  Bali, Indonesia"," Jl. Danau Tamblingan, Sanur, Bali"
"                    -
                ",C - Grill - Aqua Hotel & Villas ,Legian,Quick Bites,"                        Rp300.000 
                                    
        ",  Barat," Aqua Hotel & Villas, Jl. Werkudara, Legian, Bali"
"                    -
                ",Yasa The Pub ,Kuta,Kafe,"                        Rp200.000 
                                    
        ","  Satay, Indonesia, Eropa, Kafe"," Jl. Buni Sari No.1, Kuta, Bali"
"                    -
                ",Capsicum Cafe - The Westin Resort ,"The Westin Resort, Nusa Dua",Kafe,"                        Rp300.000 
                                    
        ","  Kafe, Barat"," The Westin Resort, BTDC Area, Nusa Dua, Bali"
"                    -
                ",Warung Makan AA ,Lovina,Casual Dining,"                        Rp175.000 
                                    
        ",  Indonesia," Jl. Singaraja Seririt, Lovina, Bali"
"                    -
                ",Penang Char Kwetiaw ,"Beachwalk, Kuta",Quick Bites,"                        Rp120.000 
                                    
        ",  Malaysia," Beachwalk, Lantai 3, Eat & Eat, Jl. Pantai Kuta, Kuta, Bali"
"                    -
                ",Cleopatra Beach Bungalows Restaurant -... ,Lovina,Kafe,"                        Rp230.000 
                                    
        ",  Kafe," Cleopatra Beach Bungalows, Jl. Singaraja - Seririt..."
"                    -
                ",No Name Scuba Warung ,Candidasa,,"                        Rp200.000 
                                    
        ","Masakan: Kafe, Asia, Barat"," Jl. Silayukti No. 6, Candidasa, Bali"
"                    -
                ",Singgah Kudai ,"Carrefour Sunset Road, Kuta",Food Court,"                        Rp150.000 
                                    
        ","  Indonesia, Asia"," Carrefour Sunset Road, Lantai 2, Jl. Sunset Road, Kuta, Bali"
"                    -
                ",20 Angel ,Gianyar,Kafe,"                        Rp150.000 
                                    
        ",  Kafe," Jl. Raya Ceking, Gianyar, Bali"
"                    -
                ",Jukung - Le Nixsun Villa ,Uluwatu,Casual Dining,"                        Rp200.000 
                                    
        ","  Barat, Indonesia"," Jl. Balangan, Uluwatu, Bali"
"                    -
                ",Mandira Cafe ,Canggu,Quick Bites,"                        Rp100.000 
                                    
        ","  Barat, Indonesia"," Jl. Batu Mejan, Canggu, Bali"
"                    -
                ",CT99 - Grandmas Hotels ,Seminyak,Quick Bites,"                        Rp150.000 
                                    
        ","  Kafe, Bali, Barat, Indonesia"," Grandmas Hotels, Jl. Camplung Tanduk, Seminyak, Bali"
"                    -
                ",Ef Burgers ,Seminyak,Quick Bites,"                        Rp120.000 
                                    
        ","  Amerika, Indonesia"," Jl. Camplung Tanduk No. 24C, Seminyak, Bali"
"                    -
                ",Bedulu Restaurant - Bedulu Resort ,Amed,Quick Bites,"                        Rp180.000 
                                    
        ","  Kafe, Barat"," Bedulu Resort, Jl. Pantai Timur, Amed, Bali"
"                    -
                ",De Hub Cafe - Alron Hotel ,Kuta,Kafe,"                        Rp250.000 
                                    
        ",  Kafe," Alron Hotel, Jl. Blambangan No. 10, Kuta, Bali"
"                    -
                ",Loving Hut ,Singaraja,Quick Bites,"                        Rp100.000 
                                    
        ","  Makanan Sehat, Cina, Indonesia"," Jl. Surapah, Singaraja, Bali"
"                    -
                ",Warung Terrace La Uma ,Gianyar,Kafe,"                        Rp200.000 
                                    
        ",  Kafe," Jl. Raya Ceking, Gianyar, Bali"
"                    -
                ",The Great Room - Holiday Inn Express Kuta... ,Kuta,Casual Dining,"                        Rp250.000 
                                    
        ","  Barat, Asia"," Holiday Inn Express Kuta Square, Jl. Raya Kuta, Kuta, Bali"
"                    -
                ",2rM Nyonya Fusion ,Uluwatu,,"                        Rp150.000 
                                    
        ",Masakan: Indonesia," Jl. Raya Uluwatu No. 73, Uluwatu, Bali"
"                    -
                ",Starz Diner - Hard Rock Hotel ,"Hard Rock Hotel, Kuta",Quick Bites,"                        Rp400.000 
                                    
        ","  Barat, Asia"," Hard Rock Hotel, Jl. Pantai Kuta, Kuta, Bali"
"                    -
                ",Mesari Restaurant ,Kintamani,Kafe,"                        Rp275.000 
                                    
        ",  Kafe," Jl. Raya Penelokan, Kintamani, Bali"
"                    -
                ",Coffee Shop - Quest Hotel ,Tuban,Quick Bites,"                        Rp120.000 
                                    
        ",  Kafe," Jl. Kediri No. 9, Tuban, Bali"
"                    -
                ",The Amphitheatre - The Oberoi ,"The Oberoi, Seminyak",Quick Bites,"                        Rp500.000 
                                    
        ",  Barat," The Oberoi, Jl. Kayu Aya, Seminyak, Bali"
"                    -
                ",Bayu's Kitchen ,Ubud,Casual Dining,"                        Rp200.000 
                                    
        ","  Thai, Indonesia, Barat"," Jl. Penestanan, Ubud, Bali"
"                    -
                ","Soka - Bali Tropic Resort & Spa, Jl.... ","Bali Tropic Resort & Spa, Tanjung Benoa",,"                        Rp500.000 
                                    
        ","Masakan: Asia, Barat"," Bali Tropic Resort & Spa, Jl. Pratama No. 34A..."
"                    -
                ",Warung Susu ,Pemuteran,Quick Bites,"                        Rp100.000 
                                    
        ",  Bali," Jl. Raya Gilimanuk - Seririt, Pemuteran, Bali"
"                    -
                ",The Damai Restaurant ,Lovina,Casual Dining,"                        Rp300.000 
                                    
        ","  Eropa, Perancis, Bali"," Jl. Damai, Lovina, Bali"
"                    -
                ",Ayam Bakar Jakarta ,"Mal Bali, Denpasar",Quick Bites,"                        Rp80.000 
                                    
        ",  Indonesia," Mal Bali, Lantai 3, Food Point, Jl. Diponegoro..."
"                    -
                ",Jakung ,Jimbaran,Casual Dining,"                        Rp600.000 
                                    
        ","  Hidangan Laut, Bali"," Pantai Jimbaran, Jl. Pantai Jimbaran, Jimbaran, Bali"
"                    -
                ",Warung Yuti ,Kerobokan,Casual Dining,"                        Rp250.000 
                                    
        ",  Itali," Jl. Tangkuban Perahu, Kerobokan, Bali"
"                    -
                ",Kedai Kopi Kultur ,Sanur,Kafe,"                        
        ","  Kafe, Kopi dan Teh"," Jl. Danau Poso No. 51, Sanur, Bali"
"                    -
                ",De' Bali ,Tuban,Casual Dining,"                        Rp240.000 
                                    
        ","  Kafe, Bali, Indonesia"," Jl. Wana Segara No. 8, Tuban, Bali"
"                    -
                ",Down Under - Fish & Chips Shop ,Legian,Casual Dining,"                        Rp300.000 
                                    
        ",  Barat," Jl. Bunut Sari, Legian, Bali"
"                    -
                ",Paradise ,Amed,Quick Bites,"                        Rp150.000 
                                    
        ","  Kafe, Barat"," Jl. Raya Amed, Amed, Bali"
"                    -
                ",Coffee Shop & Bar - Ari Putri Hotel ,"Ari Putri Hotel, Sanur",Bar,"                        Rp400.000 
                                    
        ","  Bali, Barat, Indonesia"," Ari Putri Hotel, Jl. Cemara, Sanur, Bali"
"                    -
                ",Anna Purna ,Sanur,Quick Bites,"                        Rp120.000 
                                    
        ","  Indonesia, Barat"," Jl. Tandakan No. 7, Sanur, Bali"
"                    -
                ",Sendok Cafe Corner ,Kuta,Casual Dining,"                        Rp275.000 
                                    
        ","  Itali, Barat"," Jl. Popies 2, Kuta, Bali"
"                    -
                ",Bhanuswari ,Ubud,Casual Dining,"                        Rp240.000 
                                    
        ","  Barat, Indonesia, Bali"," Jl. Pengosekan, Ubud, Bali"
"                    -
                ",Bali Dream House ,Amed,Kafe,"                        Rp120.000 
                                    
        ",  Kafe," Jl. Pantai Timur, Amed, Bali"
"                    -
                ",Nasi Goreng Hongkong ,"Beachwalk, Kuta",Quick Bites,"                        Rp100.000 
                                    
        ",  Cina," Beachwalk, Lantai 3, Eat & Eat, Jl. Pantai Kuta, Kuta, Bali"
"                    -
                ",Kafe Arma ,Ubud,Casual Dining,"                        Rp200.000 
                                    
        ","  Bali, Itali, Indonesia"," Jl. Pengosekan, Ubud, Bali"
"                    -
                ",I.D. Coffee ,"Mal Bali, Denpasar",Quick Bites,"                        Rp80.000 
                                    
        ",  Kopi dan Teh," Mal Bali, Lantai 3, Food Point, Jl. Diponegoro..."
"                    -
                ",Ba Re Lo - Swiss-BelInn ,Seminyak,Casual Dining,"                        Rp250.000 
                                    
        ",  Kontinental," Swiss-BelInn, Jl. Sunset Road No. 88S, Seminyak, Bali"
"                    -
                ",Triplo Coffee ,Kerobokan,Quick Bites,"                        Rp70.000 
                                    
        ","  Kafe, Desserts"," Jl. Raya Kerobokan No. 82, Kerobokan, Bali"
"                    -
                ",Warung Domogi ,Sanur,Quick Bites,"                        Rp120.000 
                                    
        ",  Indonesia," Jl. Tandakan No. 4, Sanur, Bali"
"                    -
                ",Floregie Kitchen ,Kerobokan,Quick Bites,"                        Rp150.000 
                                    
        ",  Amerika," Jl. Umalas 2, Kerobokan, Bali"
"                    -
                ",Sinar Bali ,Amed,Casual Dining,"                        Rp150.000 
                                    
        ","  Bali, Indonesia, Barat"," Jl. Pantai Timur, Amed, Bali"
"                    -
                ",Big Barrel Bar ,Kuta,Casual Dining,"                        Rp200.000 
                                    
        ",  Cemilan," Jl. Benesari, Kuta, Bali"
"                    -
                ",Warung Open ,Uluwatu,Quick Bites,"                        Rp100.000 
                                    
        ",  Indonesia," Jl. Raya Uluwatu, Uluwatu, Bali"
"                    -
                ",Warung Warung ,Jimbaran,Quick Bites,"                        Rp150.000 
                                    
        ",  Indonesia," Jl. Uluwatu II, Jimbaran, Bali"
"                    -
                ",Kang Jaka ,Kuta,Casual Dining,"                        Rp90.000 
                                    
        ",  Sunda," Jl. Sunset Road, Kuta, Bali"
"                    -
                ",Soes Merdeka ,Denpasar,Bakery,"                        Rp80.000 
                                    
        ",  Toko Kue," Jl. Teuku Umar 220, Denpasar, Bali"
"                    -
                ",Saya Corner ,"Carrefour Sunset Road, Kuta",Food Court,"                        Rp135.000 
                                    
        ","  Jepang, Indonesia"," Carrefour Sunset Road, Lantai 2, Jl. Sunset Road, Kuta, Bali"
"                    -
                ",Lila Chita Lounge - The Legian Beach Hotel ,"The Legian Beach Hotel, Kuta",,"                        Rp350.000 
                                    
        ",Masakan: Cemilan," The Legian Beach Hotel, Jl. Melasti, Kuta, Bali"
